test_id,wpm,raw_wpm,accuracy,time,restart_count,duration,consistency,personal_best
68866be8debff78a43099934,111.38,132.59,94.0,2025-07-27 18:11:52,3.0,4.53,90.03,False
68866bd8debff78a430998b2,98.42,110.13,91.84,2025-07-27 18:11:36,1.0,5.12,61.67,False
68866bd0debff78a4309986d,126.76,140.24,94.23,2025-07-27 18:11:28,3.0,4.45,74.49,False
68866bc3debff78a43099810,79.99,94.87,89.09,2025-07-27 18:11:15,1.0,6.45,64.38,False
68866bb9debff78a430997b6,131.06,144.43,96.3,2025-07-27 18:11:05,0.0,4.49,82.05,False
68866bb2debff78a43099785,116.04,116.04,96.36,2025-07-27 18:10:58,4.0,5.48,64.71,False
68866affdebff78a430991c9,77.49,117.29,87.5,2025-07-27 18:07:59,0.0,5.73,86.23,False
68866af8debff78a43099188,97.17,115.25,92.45,2025-07-27 18:07:52,0.0,5.31,60.04,False
68866af2debff78a43099151,104.99,104.99,100.0,2025-07-27 18:07:46,0.0,6.74,80.79,False
68866aeadebff78a4309910f,97.17,113.04,93.1,2025-07-27 18:07:38,0.0,6.05,53.67,False
68866ae2debff78a430990d3,109.02,129.78,90.0,2025-07-27 18:07:30,0.0,4.62,89.13,False
68866adcdebff78a430990a9,99.12,109.44,92.45,2025-07-27 18:07:24,0.0,5.8100000000000005,92.67,False
68866ad5debff78a43099076,88.34,106.01,89.58,2025-07-27 18:07:17,1.0,5.43,80.91,False
68866ac9debff78a43099003,123.43,123.43,100.0,2025-07-27 18:07:05,0.0,5.83,86.78,False
6883c4afdebff78a43f530bc,98.56,108.17,89.13,2025-07-25 17:53:51,1.0,4.99,74.33,False
6883c4a7debff78a43f53073,98.56,110.58,89.36,2025-07-25 17:53:43,6.0,4.99,74.15,False
6883c48fdebff78a43f52f92,110.45,121.96,92.73,2025-07-25 17:53:19,5.0,5.22,62.53,False
6883c478debff78a43f52ebd,132.41,132.41,100.0,2025-07-25 17:52:56,3.0,4.89,84.79,False
6883c468debff78a43f52e15,128.82,128.82,100.0,2025-07-25 17:52:40,5.0,4.19,59.05,False
6883c451debff78a43f52d21,98.19,122.74,90.0,2025-07-25 17:52:17,3.0,4.89,72.61,False
6883c440debff78a43f52c5d,108.94,116.37,93.62,2025-07-25 17:52:00,5.0,4.85,80.46,False
6883bb40debff78a43f4cfe4,106.11,106.11,97.87,2025-07-25 17:13:36,2.0,5.2,67.53,False
6883bb30debff78a43f4cf4b,145.84,145.84,100.0,2025-07-25 17:13:20,0.0,4.85,90.24,False
6883bb2adebff78a43f4cf0e,91.94,91.94,93.33,2025-07-25 17:13:14,0.0,7.31,55.82,False
6883bb22debff78a43f4cea6,88.75,124.26,91.84,2025-07-25 17:13:06,3.0,4.73,91.69,False
6883bb0edebff78a43f4cdee,119.18,119.18,94.0,2025-07-25 17:12:46,0.0,4.73,71.51,False
6883bb08debff78a43f4cdaf,130.21,130.21,100.0,2025-07-25 17:12:40,2.0,4.33,65.31,False
6883bafadebff78a43f4cd0f,102.75,113.68,92.45,2025-07-25 17:12:26,2.0,5.49,76.06,False
6883baf0debff78a43f4ccae,120.86,120.86,100.0,2025-07-25 17:12:16,5.0,4.57,93.43,False
6883badadebff78a43f4cbdc,111.26,141.85,94.12,2025-07-25 17:11:54,1.0,4.31,72.69,False
6883bad2debff78a43f4cb97,115.56,131.32,94.0,2025-07-25 17:11:46,0.0,4.57,79.55,False
6883bacddebff78a43f4cb62,94.32,120.93,86.0,2025-07-25 17:11:41,3.0,4.96,79.1,False
6883babddebff78a43f4caab,125.85,141.58,93.33,2025-07-25 17:11:25,3.0,3.81,92.68,False
6883bab0debff78a43f4ca20,120.96,146.16,94.83,2025-07-25 17:11:12,0.0,4.76,87.83,False
688044f0debff78a43d3f81e,115.88,128.76,96.0,2025-07-23 02:12:00,2.0,4.66,80.78,False
688044e7debff78a43d3f7d4,79.54,124.28,82.0,2025-07-23 02:11:51,19.0,4.83,88.26,False
688044a9debff78a43d3f5fa,98.26,113.22,96.23,2025-07-23 02:10:49,2.0,5.62,84.47,False
6880449edebff78a43d3f593,96.17,96.17,94.0,2025-07-23 02:10:38,1.0,5.86,63.21,False
68804493debff78a43d3f531,117.41,136.09,94.12,2025-07-23 02:10:27,4.0,4.5,87.1,False
68804482debff78a43d3f4a9,123.46,123.46,98.04,2025-07-23 02:10:10,7.0,4.86,59.3,False
68803e9fdebff78a43d3c87c,124.57,124.57,100.0,2025-07-23 01:45:03,2.0,4.72,73.4,False
68803e91debff78a43d3c833,139.11,139.11,100.0,2025-07-23 01:44:49,0.0,4.31,73.92,False
68803e8cdebff78a43d3c805,101.32,131.95,91.07,2025-07-23 01:44:44,9.0,5.09,61.06,False
68803e69debff78a43d3c73b,119.86,128.63,95.56,2025-07-23 01:44:09,4.0,4.1,52.41,False
68803e59debff78a43d3c6d3,112.3,133.19,96.15,2025-07-23 01:43:53,1.0,4.6,76.03,False
68803e4ddebff78a43d3c675,101.8,123.61,92.16,2025-07-23 01:43:41,4.0,4.95,80.99,False
68803e3ddebff78a43d3c603,111.05,115.17,98.25,2025-07-23 01:43:25,9.0,5.84,58.77,False
68803e1bdebff78a43d3c51d,84.35,133.33,83.67,2025-07-23 01:42:51,19.0,4.41,75.51,False
68803ddbdebff78a43d3c36d,131.87,181.76,84.31,2025-07-23 01:41:47,1.0,3.37,67.49,False
68803dcfdebff78a43d3c300,131.56,164.46,88.0,2025-07-23 01:41:35,0.0,3.65,73.57,False
68803dcadebff78a43d3c2e4,101.87,136.8,87.23,2025-07-23 01:41:30,7.0,4.12,54.62,False
68803d2ddebff78a43d3be9c,100.64,131.95,84.75,2025-07-23 01:38:53,3.0,5.37,80.16,False
68803d22debff78a43d3be55,116.13,155.78,81.82,2025-07-23 01:38:42,0.0,4.24,66.98,False
68803d1cdebff78a43d3be39,119.25,137.14,86.96,2025-07-23 01:38:36,0.0,4.03,55.29,False
687ed2dadebff78a43c6867b,111.1,121.78,93.22,2025-07-21 23:52:58,8.0,5.62,64.63,False
687ed2bddebff78a43c685ce,99.84,112.07,96.36,2025-07-21 23:52:29,2.0,5.89,84.93,False
687ed2aedebff78a43c68562,121.32,129.59,95.74,2025-07-21 23:52:14,0.0,4.35,68.73,False
687ed1c4debff78a43c67f95,118.11,143.42,90.2,2025-07-21 23:48:20,0.0,4.27,68.75,False
687ed1bedebff78a43c67f74,129.15,153.18,94.12,2025-07-21 23:48:14,0.0,4.0,89.89,False
687ed1b9debff78a43c67f5b,113.4,139.57,91.67,2025-07-21 23:48:09,3.0,4.13,59.63,False
687ed1a7debff78a43c67ef3,53.59,101.22,79.25,2025-07-21 23:47:51,0.0,6.05,54.38,False
687ed1a0debff78a43c67ec4,111.18,142.6,86.44,2025-07-21 23:47:44,0.0,4.96,91.43,False
6873ebf77718545366edb1ed,91.78,120.46,86.05,2025-07-13 17:25:11,1.0,4.18,72.88,False
6873ebf17718545366edb1ac,99.92,131.6,90.74,2025-07-13 17:25:05,10.0,4.92,91.29,False
6873ebce7718545366edb06b,83.32,123.72,81.63,2025-07-13 17:24:30,8.0,4.75,87.1,False
6871719a7718545366da7e28,112.57,121.4,96.36,2025-07-11 20:18:34,1.0,5.44,64.71,False
687171927718545366da7deb,129.32,129.32,100.0,2025-07-11 20:18:26,1.0,4.92,75.27,False
687171887718545366da7d8c,103.6,116.28,98.18,2025-07-11 20:18:16,2.0,5.68,86.89,False
6871717c7718545366da7d28,117.84,117.84,100.0,2025-07-11 20:18:04,0.0,4.48,76.82,False
687171767718545366da7cf8,119.77,119.77,100.0,2025-07-11 20:17:58,2.0,4.71,88.99,False
6871716c7718545366da7ca2,90.14,90.14,92.73,2025-07-11 20:17:48,14.0,6.79,64.86,False
687171387718545366da7b07,141.9,141.9,100.0,2025-07-11 20:16:56,3.0,5.24,67.59,False
687171287718545366da7a89,123.08,123.08,100.0,2025-07-11 20:16:40,0.0,4.39,78.92,False
687171237718545366da7a5e,114.08,143.96,86.79,2025-07-11 20:16:35,0.0,4.42,76.43,False
687003fa7718545366ce03c0,102.61,102.61,97.87,2025-07-10 18:18:34,0.0,5.38,71.06,False
687003f37718545366ce038c,111.7,128.33,94.44,2025-07-10 18:18:27,6.0,5.05,56.06,False
686ff5357718545366cd69f5,111.61,140.11,96.61,2025-07-10 17:15:33,2.0,5.05,57.53,False
686ff52b7718545366cd698e,101.68,128.59,88.37,2025-07-10 17:15:23,11.0,4.01,48.34,False
686ff5057718545366cd67f3,103.94,124.22,93.88,2025-07-10 17:14:45,0.0,4.73,79.63,False
686ff4ff7718545366cd67ba,111.77,125.46,96.36,2025-07-10 17:14:39,3.0,5.26,68.88,False
686ff4ed7718545366cd6700,120.56,120.56,100.0,2025-07-10 17:14:21,6.0,4.78,93.63,False
686ff4d57718545366cd660e,114.32,124.26,96.0,2025-07-10 17:13:57,1.0,4.83,92.5,False
686ff4cb7718545366cd657c,133.15,133.15,100.0,2025-07-10 17:13:47,0.0,4.87,94.02,False
686ff4c47718545366cd653d,138.6,138.6,100.0,2025-07-10 17:13:40,1.0,4.07,53.16,False
686d8e767718545366b7a4c7,139.66,139.66,100.0,2025-07-08 21:32:38,0.0,4.64,92.98,False
686d8e707718545366b7a49d,104.48,104.48,98.0,2025-07-08 21:32:32,2.0,5.4,57.51,False
686d8e5c7718545366b7a401,120.05,120.05,100.0,2025-07-08 21:32:12,0.0,5.0,81.29,False
686d8e557718545366b7a3c4,120.17,131.1,95.83,2025-07-08 21:32:05,2.0,4.39,66.03,False
686d8e457718545366b7a343,89.26,89.26,89.29,2025-07-08 21:31:49,2.0,6.72,62.29,False
686d8c287718545366b7942f,102.03,157.99,85.42,2025-07-08 21:22:48,1.0,3.65,89.19,False
686d8c1f7718545366b793e4,92.39,132.43,81.4,2025-07-08 21:22:39,4.0,3.9,81.64,False
686d8c0b7718545366b79353,106.36,115.22,94.44,2025-07-08 21:22:19,9.0,5.42,72.04,False
686d8bd67718545366b791de,152.74,166.95,93.62,2025-07-08 21:21:26,0.0,3.38,76.4,False
686d8bd27718545366b791bc,114.71,138.33,87.8,2025-07-08 21:21:22,3.0,3.56,95.02,False
686d8bbf7718545366b79138,81.79,109.84,87.76,2025-07-08 21:21:03,9.0,5.13,52.43,False
686d85ff7718545366b7660e,116.1,129.0,96.0,2025-07-08 20:56:31,5.0,4.65,92.1,False
686d85e67718545366b7652f,120.3,120.3,100.0,2025-07-08 20:56:06,9.0,4.59,82.28,False
686d85c87718545366b76429,104.84,114.83,95.65,2025-07-08 20:55:36,2.0,4.8100000000000005,69.14,False
686d85bb7718545366b763ba,120.62,140.72,92.86,2025-07-08 20:55:23,0.0,3.58,92.9,False
686d85b77718545366b7638c,119.1,119.1,98.0,2025-07-08 20:55:19,2.0,4.94,78.82,False
686d85ac7718545366b76340,114.29,114.29,100.0,2025-07-08 20:55:08,2.0,5.46,61.36,False
686d49f57718545366b52694,104.3,113.96,94.92,2025-07-08 16:40:21,7.0,6.21,67.14,False
6869586a771854536693fcaa,98.61,136.53,81.48,2025-07-05 16:52:58,4.0,4.75,90.17,False
68695859771854536693fc17,98.34,130.24,79.59,2025-07-05 16:52:41,0.0,4.51,75.6,False
68695851771854536693fbca,141.08,141.08,100.0,2025-07-05 16:52:33,3.0,4.25,71.72,False
6869583d771854536693fb10,114.58,131.76,93.62,2025-07-05 16:52:13,1.0,4.19,55.12,False
6867f2ba7718545366897588,105.9,125.61,88.24,2025-07-04 15:26:50,3.0,4.87,90.42,False
68674bcf771854536683367b,86.81,133.74,87.72,2025-07-04 03:34:39,0.0,5.11,66.86,False
68674b337718545366833250,107.61,107.61,98.18,2025-07-04 03:32:03,0.0,6.02,56.78,False
68674b2b7718545366833223,109.6,122.34,93.75,2025-07-04 03:31:55,3.0,4.71,84.12,False
68674b1c77185453668331b1,108.82,122.42,91.49,2025-07-04 03:31:40,1.0,4.41,54.13,False
68658ef1771854536674c568,119.91,132.15,94.44,2025-07-02 19:56:33,6.0,4.9,83.54,False
68658edf771854536674c4da,123.52,137.24,94.0,2025-07-02 19:56:15,10.0,4.37,76.34,False
68658e97771854536674c29c,147.95,157.2,94.12,2025-07-02 19:55:03,0.0,3.89,91.14,False
68658e93771854536674c27d,125.68,125.68,100.0,2025-07-02 19:54:59,2.0,4.39,65.36,False
68640bfbbd9e74d8611cdbb6,98.88,133.78,82.61,2025-07-01 16:25:31,0.0,4.13,60.29,False
68640bf6bd9e74d8611cdb77,90.45,103.07,90.2,2025-07-01 16:25:26,0.0,5.7,73.29,False
68640befbd9e74d8611cdb33,99.39,109.74,98.11,2025-07-01 16:25:19,0.0,5.8,88.36,False
68640be8bd9e74d8611cdadd,114.99,114.99,96.55,2025-07-01 16:25:12,2.0,5.84,79.29,False
6862c1a5bd9e74d861110516,107.15,116.68,97.96,2025-06-30 16:56:05,0.0,5.04,59.77,False
6862c19fbd9e74d8611104ce,108.88,108.88,100.0,2025-06-30 16:55:59,3.0,6.17,63.42,False
6862c18cbd9e74d8611103f4,84.88,123.87,87.04,2025-06-30 16:55:40,1.0,5.23,71.31,False
6860228c7bfbbdfc151c49fa,84.88,105.88,88.52,2025-06-28 17:12:44,5.0,13.71,78.45,False
6860226e7bfbbdfc151c48c3,97.6,108.15,92.86,2025-06-28 17:12:14,0.0,13.65,82.68,False
686022607bfbbdfc151c482a,95.86,106.2,91.38,2025-06-28 17:12:00,3.0,12.77,71.79,False
686022437bfbbdfc151c4704,98.04,110.99,91.94,2025-06-28 17:11:31,6.0,12.97,71.25,False
6860220c7bfbbdfc151c4517,113.02,113.02,95.83,2025-06-28 17:10:36,5.0,4.88,74.25,False
686021e37bfbbdfc151c4380,138.84,138.84,100.0,2025-06-28 17:09:55,3.0,4.06,54.13,False
686021d47bfbbdfc151c42f6,110.36,121.86,96.23,2025-06-28 17:09:40,1.0,5.22,68.38,False
686021cb7bfbbdfc151c42b1,107.09,119.26,92.16,2025-06-28 17:09:31,0.0,4.93,83.49,False
686021c57bfbbdfc151c4280,89.06,115.37,89.47,2025-06-28 17:09:25,3.0,5.93,72.74,False
686021b37bfbbdfc151c41df,118.15,118.15,100.0,2025-06-28 17:09:07,6.0,5.28,67.6,False
6860219a7bfbbdfc151c4102,113.0,138.42,88.0,2025-06-28 17:08:42,1.0,4.25,65.95,False
6860214d7bfbbdfc151c3e45,118.13,127.04,98.25,2025-06-28 17:07:25,2.0,5.38,76.66,False
6860213a7bfbbdfc151c3d95,105.8,132.92,85.71,2025-06-28 17:07:06,6.0,4.42,68.13,False
6860210b7bfbbdfc151c3bb9,85.44,110.57,88.64,2025-06-28 17:06:19,1.0,4.78,86.98,False
686021027bfbbdfc151c3b68,78.76,100.09,85.48,2025-06-28 17:06:10,0.0,7.31,69.23,False
686020fa7bfbbdfc151c3b24,101.36,115.19,94.0,2025-06-28 17:06:02,3.0,5.21,62.92,False
686020ee7bfbbdfc151c3aab,127.21,127.21,100.0,2025-06-28 17:05:50,0.0,4.72,81.84,False
686020e87bfbbdfc151c3a6a,106.74,106.74,98.21,2025-06-28 17:05:44,1.0,6.18,51.44,False
6860208a7bfbbdfc151c3706,94.41,137.78,75.93,2025-06-28 17:04:10,1.0,4.7,89.95,False
6860207e7bfbbdfc151c36a4,95.01,131.56,92.59,2025-06-28 17:03:58,0.0,4.93,90.27,False
686020787bfbbdfc151c3667,94.0,128.18,82.22,2025-06-28 17:03:52,0.0,4.21,71.03,False
685eddc40af9eada7239f7e9,132.65,132.65,97.62,2025-06-27 18:07:00,0.0,3.71,84.1,False
685eddbf0af9eada7239f7b6,113.83,149.07,85.45,2025-06-27 18:06:55,1.0,4.43,77.0,False
685eddb50af9eada7239f764,104.92,104.92,100.0,2025-06-27 18:06:45,9.0,5.6,65.54,False
